Region,Type,Community Cluster,Code,Description,S,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2
Capital,Inner City,Prosperous,A1,,7,41,5,15,2,5,7,7,2,2,4,1,2
Capital,Inner City,Progressive,A2,"Dense inner-city zone of progressive graduates, civil society workers and political activists. Typical of Islington, Hackney, Stokes Croft Bristol. OAC 2021 maps these as Multicultural & Educated Urbanites (Wyszomierski et al. 2023). High graduate density, above-average B1/A2, low manual and deprivation.",4,4,22,11,7,12,11,6,5,6,7,2,3
Capital,Inner City,Academic,B1,"BTR and serviced apartment zone near tech/finance districts. EHS private renters: 18% higher, 26% lower managerial NS-SEC. OAC Multicultural Educated Urbanites: high info/finance industry workers. C2 and C1 dominant, A1 moderate. E2 from gig/freelance satellite economy.",3,5,3,50,5,8,8,6,4,2,2,2,2
Capital,Inner City,Professional,C1,Transitional terrace zone with rising C2/B1 inflow displacing D1/F1. OAC 2021 notes sharpening of urban cores as Multicultural Educated Urbanites (Wyszomierski 2023). EHS owner-occupier NS-SEC: 25% higher + 33% lower managerial anchors C2/B1 for incoming layer. F1 residual from incumbent population.,3,3,4,14,3,18,25,9,4,5,6,4,2
Capital,Inner City,Middle Class,C2,,1,1,3,11,4,30,24,13,3,4,2,2,2
Capital,Inner City,Working-Class,D2,,1,0,2,3,2,4,2,52,5,12,5,6,4
Capital,Inner City,Stable Family,D1,"OAC 2011 Hard-Pressed Living: skilled trade, admin, caring/leisure above average. EHS owner-occupier: C2 skilled manual prominent in northern working-class suburbs. ASG C2 nationally 21.3% — elevated to ~28% in this cluster. C1 from NHS/council public sector.",2,1,1,4,1,6,4,58,4,7,3,6,3
Capital,Inner City,Artists,E1,"Inner-city zone of artists, musicians and freelance creatives in converted industrial stock. Closest OAC match: Multicultural Educated Urbanites with E2 spike. ASG places these as C1/C2 but income is precarious. Private rent dominant per EHS 2021-22.",1,1,7,3,3,6,8,15,4,8,33,9,2
Capital,Inner City,Grassroots,E2,,0,1,1,1,2,4,3,22,2,41,5,15,3
Capital,Inner City,Deprived,F1,Recent migrant and low-wage arrivals zone. OAC 2021 Low-Skilled Migrant and Student Communities: polar distribution between very low education and some graduate migrants. EHS private rent: 15% semi-routine + 11% routine anchors E1/F1 dominance. Overcrowding elevated per IMD housing dimension.,0,1,1,3,4,5,3,20,1,20,5,33,4
Capital,Inner City,Social Estate,F2,"Post-war flatted social estate. EHS 2021-22 directly anchors: social renters 30% semi-routine, 23% routine. ACORN urban adversity 49% of social renters. IMD 2025: North East/West Midlands 54%+ deprived in 1+ dimensions. F1 set at 63%; D1+E1 residual from working tenants.",0,0,1,1,1,4,2,13,1,12,2,61,2
Capital,Inner City,Prestige,S,"Prestige residential zone near Westminster, financial districts. ASG AB peaks in London at 28.4% nationally; elite IC zones exceed this. A1 set at 35% anchored by ASG Grade A (top of AB). EHS owner-occupied: 25% higher + 33% lower managerial gives A1+B1+C2 dominant.",38,16,11,9,2,9,8,2,0,1,2,1,1
Capital,Outer City,Prosperous,A1,,4,30,3,15,4,7,8,12,2,5,5,3,2
Capital,Outer City,Progressive,A2,"Dense inner-city zone of progressive graduates, civil society workers and political activists. Typical of Islington, Hackney, Stokes Croft Bristol. OAC 2021 maps these as Multicultural & Educated Urbanites (Wyszomierski et al. 2023). High graduate density, above-average B1/A2, low manual and deprivation.",3,4,19,13,6,12,11,9,3,7,8,2,3
Capital,Outer City,Academic,B1,,3,5,3,45,5,9,8,9,4,3,2,2,2
Capital,Outer City,Professional,C1,,3,3,4,13,3,17,21,13,4,5,8,4,2
Capital,Outer City,Middle Class,C2,"OAC 2021 Suburbanites supergroup: higher qualifications, semi/detached owner-occupied, info/finance/public admin sectors. EHS owner-occupier: 33% lower managerial NS-SEC anchors C1 at 34%. ASG C1 nationally 32.8% — this cluster is C1-dominant per pen portrait.",1,1,3,10,4,28,20,18,3,4,4,2,2
Capital,Outer City,Working-Class,D2,Young working private renters. EHS private renters: C1 26% lower managerial dominant but 15% semi-routine + 11% routine = D1/E1 significant. Financially stretched ACORN category. C1/E1 co-dominant; moderate F1 from precarious fringe.,0,0,1,2,1,4,2,61,2,10,4,8,5
Capital,Outer City,Stable Family,D1,,0,0,1,4,1,5,3,65,3,5,3,5,5
Capital,Outer City,Artists,E1,Outer creative/freelance zone. E2 elevated from creative economy spillover. Wyszomierski 2023 notes BTR and creative fringe expansion in outer zones. C2 from established professional settlers. F1 moderate from mixed-income private rent.,1,1,6,4,1,8,11,10,3,12,30,8,5
Capital,Outer City,Grassroots,E2,,0,0,1,2,1,6,3,20,1,44,5,12,5
Capital,Outer City,Deprived,F1,,0,0,1,2,3,7,3,14,0,23,4,37,6
Capital,Outer City,Social Estate,F2,Peripheral post-war social estate. EHS 2021-22 social renters: 30% semi-routine + 23% routine. ACORN urban adversity 49% of social renters. IMD 2025 employment deprivation concentrated in North East/West Midlands. F1 set at 59%; D1+E1 residual from working tenants.,0,0,1,1,1,6,2,13,0,13,2,56,5
Capital,Rural,Prosperous,A1,"OAC 2021 Retired Professionals in rural context — Wyszomierski 2023: formerly Rural Residents now reclassified as Retired Professionals. Detached, outright owned, 2 cars. A1/B1/C2 reflect former professional occupations of retirees. Service workers support local economy. F1 from pension-poor rural elderly.",6,17,3,13,1,10,13,12,2,6,5,4,8
Capital,Rural,New-Build Family,C1,OAC Peri-Urbanites / Suburbanites in rural fringe context per Wyszomierski 2023. EHS first-time buyer: C1/C2 dominant. Car-dependent per OAC rural pen portrait (2+ cars). Dual income young families. F1 suppressed by mortgage filter.,1,2,2,10,3,15,10,18,2,11,4,14,8
Capital,Rural,Mixed,D1,OAC Rural & Outlying Areas with agriculture/land management employment spike. D1 from estate workers; A1 from landowner/estate director; E1 from self-employed rural trades. Consistent with Rural Outlying pen portrait characteristics.,1,1,2,2,1,5,5,28,2,15,3,10,25
Capital,Rural,Agricultural,D2,"OAC Rural & Outlying Areas pen portrait: higher proportion in agriculture, detached properties, owner-occupied, 2+ cars. EHS rural: D1 in skilled trade/agriculture dominant. E1 from farm self-employment (NS-SEC L8-L9). F1 suppressed by owner-occupation but rural hidden poverty present per IMD.",0,0,1,1,1,2,1,22,0,26,1,10,35
Capital,Rural,Deprived,F1,"OAC Hard-Pressed Communities in rural context (Welsh valleys, Durham pit villages). IMD 2025: employment deprivation domain highest in post-industrial areas. EHS social renters: 53% semi-routine/routine. F1 elevated per IMD employment + health deprivation dimensions.",0,0,1,1,1,2,2,12,0,14,3,32,32
Capital,Suburb,Prosperous,A1,OAC 2021 Retired Professionals — key 2021 new supergroup per Wyszomierski 2023: prevalent in former Suburbanite and Rural Resident neighbourhoods. High asset ownership. A1/B1/C2 reflect former occupations. Service workers (C1/D1/E1) support retirees. F1 from pension-poor minority.,5,19,3,11,1,12,15,11,2,6,3,4,8
Capital,Suburb,Academic,B1,University-adjacent suburb. OAC Suburbanites with B1 spike from academic employment. Wyszomierski 2023: educational/occupational outcomes foreground in these zones. A2 elevated from civic/political activism. ASG AB above national average.,2,2,3,45,4,8,7,10,1,5,3,2,8
Capital,Suburb,Professional,C1,"OAC Suburbanites core pen portrait: higher qualifications, owner-occupied, info/finance/public admin employment. EHS owner-occupier: 25% higher + 33% lower managerial = A1+B1+C2 dominant. ASG AB exceeds national 23.3% in professional suburban belts. F1 near-zero.",2,5,5,12,2,20,21,14,2,5,4,2,6
Capital,Suburb,Middle Class,C2,New-build suburban estate. OAC Suburbanites younger profile per Wyszomierski 2023 Young Family subgroup. EHS first-time buyer NS-SEC: C1/C2 dominant. Dual income household. Mortgage-anchored owner-occupation suppresses F1.,1,1,2,11,2,24,25,16,1,7,3,2,5
Capital,Suburb,Grassroots,E2,Suburban trade and self-employment zone. NS-SEC L8-L9 (E1) and L10-L11 (D1) elevated. EHS: C2 owner-occupied prominent outside London. Consistent with Hard-Pressed Living pen portrait characteristics of skilled trade employment.,0,1,1,2,1,7,3,28,1,32,4,13,7
Capital,Suburb,Deprived,F1,,0,0,0,1,2,3,3,15,0,18,2,45,11
Capital,Inner City,Technological Hub,TECH,Tech campus and startup zone. OAC 2021 Multicultural Educated Urbanites with information industry employment spike. ASG AB elevated: London 28.4% nationally but tech hubs exceed this. B1+A1+C2 dominant. E2 from freelance tech/creative economy. Low D1/F1.,3,5,2,65,5,4,4,1,2,2,4,2,1
Capital,Town,Mixed New Town,B2,"New towns: OAC Suburbanites and Peri-Urbanites mix. EHS: public sector employment prominent (C1 = nurses, teachers, council). D1 from manufacturing/trade original base. F1 at national average consistent with planned mixed-income intent.",2,2,1,12,2,22,12,21,2,10,3,6,5
Capital,Town,Professional,C1,OAC Peri-Urbanites / Suburbanites in market town context. EHS owner-occupier NS-SEC: 25% higher + 33% lower managerial. IMD: market towns typically IMD quintile 3-4. ASG AB above national average. A1/B1/C2 dominant from local professional base.,2,7,5,17,2,18,16,15,1,8,4,2,3
Capital,Town,Middle Class,C2,OAC 2021 Retired Professionals supergroup in coastal context — Wyszomierski 2023 identifies this as key new 2021 category in coastal/outlying areas. IDAOPI elevated. Working-age service economy (C1/D1/E1) supports retirees. F1 from pension poverty.,3,2,2,14,2,18,15,17,1,7,3,6,10
Capital,Town,Working-Class,D2,,1,1,2,4,1,10,7,32,4,14,5,11,8
Capital,Town,Mixed Rural Town,E1,Largest rural settlement. OAC Rural & Outlying Areas with service function. Broad NS-SEC mix per EHS rural data. D1 from agriculture/trade; C1 from public services; E1 from self-employed rural traders; moderate F1 from rural hidden poverty (IMD 2025 rural deprivation domain).,2,4,1,6,2,10,7,20,0,18,4,10,16
Capital,Town,Deprived,F1,OAC Hard-Pressed Communities in coastal context. IMD 2025: coastal towns among most deprived LSOAs. EHS social renters: 53% semi-routine/routine. ACORN urban adversity. Seasonal E1 from tourism/hospitality. F1 at 52% consistent with IMD bottom quintile concentration.,0,0,1,1,2,6,2,9,0,14,6,49,10
Capital,Inner City,Student Campus,UNI,Zone surrounding major university campus. OAC 2021 'Low-Skilled Migrant and Student Communities' captures the polar distribution of educational outcomes. EHS 2021-22 confirms private rent dominant. B2 peaks at 45%; B1 elevated from academic staff; F1 from low-income non-student residents.,3,1,4,20,46,4,2,2,3,3,6,4,2
Capital,Outer City,Student Campus,UNI,Zone surrounding major university campus. OAC 2021 'Low-Skilled Migrant and Student Communities' captures the polar distribution of educational outcomes. EHS 2021-22 confirms private rent dominant. B2 peaks at 45%; B1 elevated from academic staff; F1 from low-income non-student residents.,3,1,4,16,47,6,3,2,3,3,6,4,2
Capital,Suburb,Student Campus,UNI,Zone surrounding major university campus. OAC 2021 'Low-Skilled Migrant and Student Communities' captures the polar distribution of educational outcomes. EHS 2021-22 confirms private rent dominant. B2 peaks at 45%; B1 elevated from academic staff; F1 from low-income non-student residents.,2,1,4,20,45,5,3,2,3,2,7,4,2
Highland,Inner City,Prosperous,A1,,7,32,5,13,2,10,12,7,2,3,4,1,2
Highland,Inner City,Progressive,A2,"Dense inner-city zone of progressive graduates, civil society workers and political activists. Typical of Islington, Hackney, Stokes Croft Bristol. OAC 2021 maps these as Multicultural & Educated Urbanites (Wyszomierski et al. 2023). High graduate density, above-average B1/A2, low manual and deprivation.",3,3,21,9,6,12,10,8,5,7,11,2,3
Highland,Inner City,Academic,B1,"BTR and serviced apartment zone near tech/finance districts. EHS private renters: 18% higher, 26% lower managerial NS-SEC. OAC Multicultural Educated Urbanites: high info/finance industry workers. C2 and C1 dominant, A1 moderate. E2 from gig/freelance satellite economy.",2,5,4,22,5,13,14,11,3,7,8,3,3
Highland,Inner City,Professional,C1,Transitional terrace zone with rising C2/B1 inflow displacing D1/F1. OAC 2021 notes sharpening of urban cores as Multicultural Educated Urbanites (Wyszomierski 2023). EHS owner-occupier NS-SEC: 25% higher + 33% lower managerial anchors C2/B1 for incoming layer. F1 residual from incumbent population.,2,2,4,12,2,20,27,8,4,6,7,4,2
Highland,Inner City,Middle Class,C2,,1,1,3,5,3,30,26,10,4,8,5,2,2
Highland,Inner City,Working-Class,D2,,2,1,1,4,2,13,7,32,5,14,9,6,4
Highland,Inner City,Stable Family,D1,"OAC 2011 Hard-Pressed Living: skilled trade, admin, caring/leisure above average. EHS owner-occupier: C2 skilled manual prominent in northern working-class suburbs. ASG C2 nationally 21.3% — elevated to ~28% in this cluster. C1 from NHS/council public sector.",2,1,1,2,1,9,7,50,4,10,4,6,3
Highland,Inner City,Artists,E1,"Inner-city zone of artists, musicians and freelance creatives in converted industrial stock. Closest OAC match: Multicultural Educated Urbanites with E2 spike. ASG places these as C1/C2 but income is precarious. Private rent dominant per EHS 2021-22.",0,0,6,1,3,7,11,5,3,10,45,7,2
Highland,Inner City,Grassroots,E2,,0,1,1,1,2,4,4,20,2,41,6,15,3
Highland,Inner City,Deprived,F1,Recent migrant and low-wage arrivals zone. OAC 2021 Low-Skilled Migrant and Student Communities: polar distribution between very low education and some graduate migrants. EHS private rent: 15% semi-routine + 11% routine anchors E1/F1 dominance. Overcrowding elevated per IMD housing dimension.,0,1,1,3,4,6,4,15,1,22,6,33,4
Highland,Inner City,Social Estate,F2,"Post-war flatted social estate. EHS 2021-22 directly anchors: social renters 30% semi-routine, 23% routine. ACORN urban adversity 49% of social renters. IMD 2025: North East/West Midlands 54%+ deprived in 1+ dimensions. F1 set at 63%; D1+E1 residual from working tenants.",0,0,1,1,1,5,2,10,1,14,2,61,2
Highland,Inner City,Prestige,S,"Prestige residential zone near Westminster, financial districts. ASG AB peaks in London at 28.4% nationally; elite IC zones exceed this. A1 set at 35% anchored by ASG Grade A (top of AB). EHS owner-occupied: 25% higher + 33% lower managerial gives A1+B1+C2 dominant.",45,16,11,7,2,7,5,1,0,1,3,1,1
Highland,Outer City,Prosperous,A1,,4,26,3,11,4,11,14,10,2,5,5,3,2
Highland,Outer City,Progressive,A2,"Dense inner-city zone of progressive graduates, civil society workers and political activists. Typical of Islington, Hackney, Stokes Croft Bristol. OAC 2021 maps these as Multicultural & Educated Urbanites (Wyszomierski et al. 2023). High graduate density, above-average B1/A2, low manual and deprivation.",2,3,18,11,6,12,10,11,3,7,12,2,3
Highland,Outer City,Academic,B1,,1,4,3,21,6,14,13,12,2,6,9,4,5
Highland,Outer City,Professional,C1,,2,1,3,10,2,24,21,10,4,7,9,5,2
Highland,Outer City,Middle Class,C2,"OAC 2021 Suburbanites supergroup: higher qualifications, semi/detached owner-occupied, info/finance/public admin sectors. EHS owner-occupier: 33% lower managerial NS-SEC anchors C1 at 34%. ASG C1 nationally 32.8% — this cluster is C1-dominant per pen portrait.",1,2,3,4,2,28,24,11,5,9,6,2,3
Highland,Outer City,Working-Class,D2,Young working private renters. EHS private renters: C1 26% lower managerial dominant but 15% semi-routine + 11% routine = D1/E1 significant. Financially stretched ACORN category. C1/E1 co-dominant; moderate F1 from precarious fringe.,1,1,1,2,1,11,7,36,2,17,8,8,5
Highland,Outer City,Stable Family,D1,,1,1,1,2,1,8,6,51,3,11,5,5,5
Highland,Outer City,Artists,E1,Outer creative/freelance zone. E2 elevated from creative economy spillover. Wyszomierski 2023 notes BTR and creative fringe expansion in outer zones. C2 from established professional settlers. F1 moderate from mixed-income private rent.,0,1,6,2,1,5,11,7,3,15,36,8,5
